Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.006444,0.635502,0.533597,0.012759,1589,0,2809068885,5110294.000000,0.000000,586884,.,.,325398.000000,215391.000000,,1.51073164617,3782,.,.,1198.000000,2457.000000,,0.487586487586,583102,.,.,324200.000000,212934.000000,,1.52253749988,12888,.,.,5187.000000,7490.000000,,0.692523364486,3820,.,.,1340.000000,2443.000000,,0.548505935325,2191,.,.,501.000000,1644.000000,,0.304744525547,6877,.,.,3346.000000,3403.000000,,0.983250073465
INDEL,*,*,PASS,*,QUAL,*,0.005754,0.661303,0.494512,0.011409,1301,0,2809068885,5110294.000000,0.000000,586884,.,.,325398.000000,215391.000000,,1.51073164617,3377,.,.,1094.000000,2168.000000,,0.504612546125,583507,.,.,324304.000000,213223.000000,,1.52096162234,10204,.,.,4154.000000,5943.000000,,0.698973582366,3411,.,.,1225.000000,2154.000000,,0.568709377902,1747,.,.,373.000000,1351.000000,,0.276091783864,5046,.,.,2556.000000,2438.000000,,1.04840032814
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.11165,0.289474,0.700787,0.161146,12,0,3030848912.000000,5110294.000000,0.000000,412,.,.,311.000000,62.000000,,5.01612903226,46,.,.,30.000000,12.000000,,2.5,366,.,.,281.000000,50.000000,,5.62,127,.,.,80.000000,46.000000,,1.73913043478,11,.,.,8.000000,3.000000,,2.66666666667,27,.,.,14.000000,13.000000,,1.07692307692,89,.,.,58.000000,30.000000,,1.93333333333
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.104369,0.307692,0.697674,0.155868,7,0,3030848912.000000,5110294.000000,0.000000,412,.,.,311.000000,62.000000,,5.01612903226,43,.,.,28.000000,11.000000,,2.54545454545,369,.,.,283.000000,51.000000,,5.54901960784,86,.,.,53.000000,33.000000,,1.60606060606,8,.,.,6.000000,2.000000,,3.0,18,.,.,9.000000,9.000000,,1.0,60,.,.,38.000000,22.000000,,1.72727272727
INDEL,*,TS_contained,ALL,*,QUAL,*,0.00637,0.637703,0.0,0.012615,1577,0,5110294.000000,5110294.000000,0.000000,586472,.,.,325087.000000,215329.000000,,1.50972233187,3736,.,.,1168.000000,2445.000000,,0.477709611452,582736,.,.,323919.000000,212884.000000,,1.52157513012,5973,.,.,1819.000000,4071.000000,,0.4468189634,3809,.,.,1332.000000,2440.000000,,0.545901639344,2164,.,.,487.000000,1631.000000,,0.298589822195,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.005685,0.663094,0.0,0.011273,1294,0,5110294.000000,5110294.000000,0.000000,586472,.,.,325087.000000,215329.000000,,1.50972233187,3334,.,.,1066.000000,2157.000000,,0.494204914233,583138,.,.,324021.000000,213172.000000,,1.51999793594,5132,.,.,1583.000000,3494.000000,,0.453062392673,3403,.,.,1219.000000,2152.000000,,0.566449814126,1729,.,.,364.000000,1342.000000,,0.271236959762,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,5110294.000000,0.000000,14,.,.,1.000000,5.000000,,0.2,0,.,.,0.000000,0.000000,,,14,.,.,1.000000,5.000000,,0.2,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,5110294.000000,0.000000,14,.,.,1.000000,5.000000,,0.2,0,.,.,0.000000,0.000000,,,14,.,.,1.000000,5.000000,,0.2,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3030848912.000000,5110294.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3030848912.000000,5110294.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
